,Year,GDP,HR,CPI,HRsq
6,1955,910.7844182365443,19.0,1.0032493907392364,361.0
9,1958,1308.2090596785342,25.57,0.9889415481832544,653.8249000000001
11,1960,1457.4730167300704,46.34,1.0254777070063696,2147.3956000000003
13,1962,1151.2390351797449,27.91,1.038101604278075,778.9681
16,1965,1717.2037770499346,37.0,0.9879175550817343,1369.0
19,1968,1730.164346321726,27.5,1.000733137829912,756.25
21,1970,2261.324064732312,27.56,1.0,759.5536
23,1972,2530.224149001092,41.45,1.0014524328249819,1718.1025000000002
26,1975,3013.1108333419115,53.18,1.0043196544276458,2828.1124
29,1978,3645.2174740458895,75.05,1.0069589422407794,5632.5025
31,1980,4545.6239733557295,114.15,1.0753052917232022,13030.222500000002
33,1982,5323.350964674374,137.61,1.0203076923076924,18936.512100000004
36,1985,9016.036580612483,226.83,1.0932642487046633,51451.848900000005
39,1988,15042.823010095724,356.66,1.187557603686636,127206.35560000002
41,1990,18667.82237610586,462.45,1.031239723775074,213860.0025
43,1992,26923.4764511214,538.73817,1.0641579272054287,290238.8158149489
46,1995,60793.7292113314,1028.393,1.1710794297352343,1057592.1624490002
49,1998,84402.279768922,1565.59174,0.9920337394564198,2451077.496356228
51,2000,99214.5543084772,2085.6792,1.0039923347173427,4350057.72531264
53,2002,120332.68927425226,3114.23833,0.9919444005686305,9698480.376041189
56,2005,184937.36896018017,4665.6939,1.0180221111615932,21768699.56849721
59,2008,314045.42708655354,9685.56019,1.059012725492938,93810076.19411284
61,2010,401202.0284084352,12550.02,1.033,157503002.0004
